Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
1990-01-03 00:00:00,358.76,199837.4033000000000043883119,199967.6033000000000043883119,1,21,19491.1500,-5.289269999999999
1990-01-04 00:00:00,355.66,199408.1066000000000087766238,199935.2066000000000087766238,2,42,38585.400,-12.230568000000002
1990-01-05 00:00:00,352.2,197016.3599000000000131649357,199902.8099000000000131649357,3,63,55518.7500,-22.418109
1990-01-08 00:00:00,353.79,199180.4099000000000131649357,199902.8099000000000131649357,3,63,57682.800,-19.8324
1990-01-09 00:00:00,349.62,193463.1238000000000113232089,199836.4738000000000113232089,4,106,71783.9000,-39.730784
1990-01-10 00:00:00,347.31,194560.4738000000000113232089,199836.4738000000000113232089,4,106,72881.2500,-43.282070000000004
1990-01-11 00:00:00,348.53,196024.0738000000000113232089,199836.4738000000000113232089,4,106,74344.8500,-39.61936
1990-01-12 00:00:00,339.93,183747.9738000000000113232089,199836.4738000000000113232089,4,106,62068.7500,-65.354695
1990-01-15 00:00:00,337.0,180989.3512000000000128352438,199777.8512000000000128352438,5,144,77418.7500,-83.652456
1990-01-16 00:00:00,340.75,189744.6512000000000128352438,199777.8512000000000128352438,5,144,86174.0500,-69.05273600000001
1990-01-17 00:00:00,337.4,184515.3169000000000131933573,199763.9669000000000131933573,6,153,89058.6000,-82.816272
1990-01-18 00:00:00,338.19,184669.2169000000000131933573,199763.9669000000000131933573,6,153,89212.5000,-77.22544599999999
1990-01-19 00:00:00,339.15,187044.9680000000000134718901,199753.1680000000000134718901,7,160,94705.3000,-71.54365599999998
1990-01-22 00:00:00,330.38,171283.4180000000000134718901,199753.1680000000000134718901,7,160,78943.7500,-114.44324900000001
1990-01-23 00:00:00,331.61,167949.0826000000000135514709,199750.0826000000000135514709,8,162,80150.0000,-109.334088
1990-01-24 00:00:00,330.25,171235.0399000000000135912613,199748.5399000000000135912613,9,163,85725.0000,-113.67316699999999
1990-01-25 00:00:00,326.08,158728.7899000000000135912613,199748.5399000000000135912613,9,163,73218.7500,-134.66219400000003
1990-01-26 00:00:00,325.8,161373.3104812500000174442342,163960.8104812500000174442342,6,59,38031.2500,-24.161149
1990-01-29 00:00:00,325.2,160781.8615812500000177227670,163950.0115812500000177227670,7,66,53288.1000,-26.316237000000005
1990-01-30 00:00:00,322.98,159388.8626812500000180012998,163939.2126812500000180012998,8,73,67700.0000,-30.603989
1990-01-31 00:00:00,329.08,162451.3626812500000180012998,163939.2126812500000180012998,8,73,70762.5000,-22.971086
1990-02-01 00:00:00,328.79,162801.3626812500000180012998,163939.2126812500000180012998,8,73,71112.5000,-22.684788999999995
1990-02-02 00:00:00,330.92,163329.9626812500000180012998,163939.2126812500000180012998,8,73,71641.1000,-20.65025300000001
1990-02-05 00:00:00,331.85,165004.5805812500000153637652,163903.7305812500000153637652,9,96,83269.9500,-25.436633
1990-02-06 00:00:00,329.66,163406.9805812500000153637652,163903.7305812500000153637652,9,96,81672.3500,-28.530437999999997
1990-02-07 00:00:00,333.75,166581.9805812500000153637652,163903.7305812500000153637652,9,96,84847.3500,-22.695975
1990-02-08 00:00:00,332.96,165975.7305812500000153637652,163903.7305812500000153637652,9,96,84241.1000,-22.256865
1990-02-09 00:00:00,333.62,167006.9805812500000153637652,163903.7305812500000153637652,9,96,85272.3500,-21.385248
1990-02-12 00:00:00,330.08,165415.6305812500000153637652,163903.7305812500000153637652,9,96,83681.0000,-23.729664999999997
1990-02-13 00:00:00,331.02,166937.4805812500000153637652,163903.7305812500000153637652,9,96,85202.8500,-22.022047999999998
1990-02-14 00:00:00,332.01,166872.1305812500000153637652,163903.7305812500000153637652,9,96,85137.5000,-20.236332000000004
1990-02-15 00:00:00,334.89,169445.1805812500000153637652,163903.7305812500000153637652,9,96,87710.5500,-16.264674
1990-02-16 00:00:00,332.72,169539.1805812500000153637652,163903.7305812500000153637652,9,96,87804.5500,-16.260164
1990-02-20 00:00:00,327.99,166720.4305812500000153637652,163903.7305812500000153637652,9,96,84985.8000,-22.121066
1990-02-21 00:00:00,327.67,168015.8805812500000153637652,163903.7305812500000153637652,9,96,86281.2500,-20.729815000000002
1990-02-22 00:00:00,325.7,166604.5805812500000153637652,163903.7305812500000153637652,9,96,84869.9500,-22.792066999999996
