Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
1990-01-03 00:00:00,358.76,199869.8000,200000,1,21,19491.1500,-5.289269999999999
1990-01-04 00:00:00,355.66,199472.9000,200000,2,42,38585.400,-12.230568000000002
1990-01-05 00:00:00,352.2,197113.5500,200000,3,63,55518.7500,-22.418109
1990-01-08 00:00:00,353.79,199277.6000,200000,3,63,57682.800,-19.8324
1990-01-09 00:00:00,349.62,193626.6500,200000,4,106,71783.9000,-39.730784
1990-01-10 00:00:00,347.31,194724.0000,200000,4,106,72881.2500,-43.282070000000004
1990-01-11 00:00:00,348.53,196187.6000,200000,4,106,74344.8500,-39.61936
1990-01-12 00:00:00,339.93,183911.5000,200000,4,106,62068.7500,-65.354695
1990-01-15 00:00:00,337.0,181211.5000,200000,5,144,77418.7500,-83.652456
1990-01-16 00:00:00,340.75,189966.8000,200000,5,144,86174.0500,-69.05273600000001
1990-01-17 00:00:00,337.4,184751.3500,200000,6,153,89058.6000,-82.816272
1990-01-18 00:00:00,338.19,184817.4000,200000,7,160,92318.7500,-79.15808999999999
1990-01-19 00:00:00,339.15,187203.9500,200000,7,160,94705.3000,-71.54365599999998
1990-01-22 00:00:00,330.38,171442.4000,200000,7,160,78943.7500,-114.44324900000001
1990-01-23 00:00:00,331.61,168111.1500,200000,8,162,80150.0000,-109.334088
1990-01-24 00:00:00,330.25,171398.6500,200000,9,163,85725.0000,-113.67316699999999
1990-01-25 00:00:00,326.08,158892.4000,200000,9,163,73218.7500,-134.66219400000003
1990-01-26 00:00:00,325.8,161704.9000,200000,10,165,80568.7500,-137.997344
1990-01-29 00:00:00,325.2,158392.6500,200000,10,165,77256.5000,-142.61932600000003
1990-01-30 00:00:00,322.98,154011.1500,200000,10,165,72875.0000,-158.044996
1990-01-31 00:00:00,329.08,168361.1500,200000,10,165,87225.0000,-120.674045
1990-02-01 00:00:00,328.79,167211.1500,200000,10,165,86075.0000,-122.27087099999999
1990-02-02 00:00:00,330.92,175095.6500,200000,10,165,93959.5000,-108.75805699999998
1990-02-05 00:00:00,331.85,177503.1000,200000,10,165,96366.9500,-101.61002399999998
1990-02-06 00:00:00,329.66,168351.9000,200000,10,165,87215.7500,-116.63627700000002
1990-02-07 00:00:00,333.75,184658.1500,200000,10,165,103522.0000,-86.576496
1990-02-08 00:00:00,332.96,184095.6500,200000,10,165,102959.5000,-89.67136800000002
1990-02-09 00:00:00,333.62,182676.9000,200000,10,165,101540.7500,-83.21680799999999
1990-02-12 00:00:00,330.08,167629.0500,200000,10,165,86492.9000,-109.91458999999999
1990-02-13 00:00:00,331.02,179858.9000,200000,10,165,98722.7500,-103.881212
1990-02-14 00:00:00,332.01,184686.1500,200000,10,165,103550.0000,-92.864089
1990-02-15 00:00:00,334.89,201019.5000,199236.5000,6,59,42489.6000,-10.556203000000002
