Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
1990-01-03 00:00:00,358.76,199837.4033000000000043883119,199967.6033000000000043883119,1,21,19491.1500,-5.289269999999999
1990-01-04 00:00:00,355.66,199408.1066000000000087766238,199935.2066000000000087766238,2,42,38585.400,-12.230568000000002
1990-01-05 00:00:00,352.2,197016.3599000000000131649357,199902.8099000000000131649357,3,63,55518.7500,-22.418109
1990-01-08 00:00:00,353.79,199180.4099000000000131649357,199902.8099000000000131649357,3,63,57682.800,-19.8324
1990-01-09 00:00:00,349.62,193463.1238000000000113232089,199836.4738000000000113232089,4,106,71783.9000,-39.730784
1990-01-10 00:00:00,347.31,194560.4738000000000113232089,199836.4738000000000113232089,4,106,72881.2500,-43.282070000000004
1990-01-11 00:00:00,348.53,196024.0738000000000113232089,199836.4738000000000113232089,4,106,74344.8500,-39.61936
1990-01-12 00:00:00,339.93,183747.9738000000000113232089,199836.4738000000000113232089,4,106,62068.7500,-65.354695
1990-01-15 00:00:00,337.0,180989.3512000000000128352438,199777.8512000000000128352438,5,144,77418.7500,-83.652456
1990-01-16 00:00:00,340.75,189744.6512000000000128352438,199777.8512000000000128352438,5,144,86174.0500,-69.05273600000001
1990-01-17 00:00:00,337.4,184515.3169000000000131933573,199763.9669000000000131933573,6,153,89058.6000,-82.816272
1990-01-18 00:00:00,338.19,184669.2169000000000131933573,199763.9669000000000131933573,6,153,89212.5000,-77.22544599999999
1990-01-19 00:00:00,339.15,187044.9680000000000134718901,199753.1680000000000134718901,7,160,94705.3000,-71.54365599999998
1990-01-22 00:00:00,330.38,171283.4180000000000134718901,199753.1680000000000134718901,7,160,78943.7500,-114.44324900000001
1990-01-23 00:00:00,331.61,167949.0826000000000135514709,199750.0826000000000135514709,8,162,80150.0000,-109.334088
1990-01-24 00:00:00,330.25,171235.0399000000000135912613,199748.5399000000000135912613,9,163,85725.0000,-113.67316699999999
1990-01-25 00:00:00,326.08,158630.7393381250000158305244,170776.5393381250000158305244,6,100,43687.5000,-65.746053
1990-01-26 00:00:00,325.8,160160.8796406250000176026744,162773.3796406250000176026744,6,63,47081.2500,-25.232229
1990-01-29 00:00:00,325.2,159544.6307406250000178812072,162762.5807406250000178812072,7,70,62313.3000,-27.380461000000004
1990-01-30 00:00:00,322.98,158026.4318406250000181597400,162751.7818406250000181597400,8,77,76600.0000,-31.752540999999997
1990-01-31 00:00:00,329.08,161413.9318406250000181597400,162751.7818406250000181597400,8,77,79987.5000,-23.807218
1990-02-01 00:00:00,328.79,161813.9318406250000181597400,162751.7818406250000181597400,8,77,80387.5000,-23.512036999999996
1990-02-02 00:00:00,330.92,162430.1318406250000181597400,162751.7818406250000181597400,8,77,81003.7000,-21.39874900000001
1990-02-05 00:00:00,331.85,163892.4818406250000181597400,162751.7818406250000181597400,8,77,82466.0500,-19.620787
1990-02-06 00:00:00,329.66,162542.6318406250000181597400,162751.7818406250000181597400,8,77,81116.2000,-21.958099999999998
1990-02-07 00:00:00,333.75,165148.8818406250000181597400,162751.7818406250000181597400,8,77,83722.4500,-17.491889999999998
1990-02-08 00:00:00,332.96,164905.1318406250000181597400,162751.7818406250000181597400,8,77,83478.7000,-17.142948
1990-02-09 00:00:00,333.62,165698.8818406250000181597400,162751.7818406250000181597400,8,77,84272.4500,-16.534506
1990-02-12 00:00:00,330.08,164513.5818406250000181597400,162751.7818406250000181597400,8,77,83087.1500,-18.285508999999998
1990-02-13 00:00:00,331.02,165592.9318406250000181597400,162751.7818406250000181597400,8,77,84166.5000,-16.960725999999998
1990-02-14 00:00:00,332.01,165745.1818406250000181597400,162751.7818406250000181597400,8,77,84318.7500,-15.576434000000003
1990-02-15 00:00:00,334.89,167734.3318406250000181597400,162751.7818406250000181597400,8,77,86307.9000,-12.564499000000001
1990-02-16 00:00:00,332.72,167865.9318406250000181597400,162751.7818406250000181597400,8,77,86439.5000,-12.578562000000002
1990-02-20 00:00:00,327.99,165690.9318406250000181597400,162751.7818406250000181597400,8,77,84264.5000,-17.027123
1990-02-21 00:00:00,327.67,166651.4318406250000181597400,162751.7818406250000181597400,8,77,85225.0000,-15.982317
1990-02-22 00:00:00,325.7,165548.7318406250000181597400,162751.7818406250000181597400,8,77,84122.3000,-17.487529
