symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00055000,8/8/14,55,C,A,40.45,38.4,39.425,0,0.577382,0,0,94.48,,*,1,0,0,-0.000242,0.001507
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00055000,8/8/14,55,P,A,0.01,0,0,0,0.577382,0,0,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00060000,8/8/14,60,C,A,35.45,33.4,34.425,0,0.577382,0,0,94.48,,*,1,0,0,-0.000264,0.001644
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00060000,8/8/14,60,P,A,0.01,0,0,0,0.577382,0,0,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00065000,8/8/14,65,C,A,29.95,29,29.475,0,0.577382,0,0,94.48,,*,1,0,0,-0.000286,0.001781
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00065000,8/8/14,65,P,A,0.01,0,0,0,0.577382,0,40,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00070000,8/8/14,70,C,A,24.95,24,24.475,0,0.577382,0,0,94.48,,*,1,0,0,-0.000308,0.001918
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00070000,8/8/14,70,P,A,0.01,0,0,0,0.577382,0,1011,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00075000,8/8/14,75,C,A,19.55,19.15,19.35,0,0.577382,25,42,94.48,,*,1,0,0,-0.00033,0.002055
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00075000,8/8/14,75,P,A,0.01,0,0,0,0.577382,0,10084,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00076000,8/8/14,76,C,A,18.95,18,18.475,0,0.577382,0,0,94.48,,*,1,0,0,-0.000335,0.002082
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00076000,8/8/14,76,P,A,0.01,0,0,0,0.577382,0,2440,94.48,,*,0,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00077000,8/8/14,77,C,A,17.95,17,17.475,0,0.577382,0,0,94.48,,*,1,0,0,-0.000339,0.00211
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00077000,8/8/14,77,P,A,0.01,0,0,0,0.577382,0,5234,94.48,,*,0,0,0,0,0
