symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01050000,01/07/2011,1050.0,C,E,220.6,217.1,218.85,0.0,0.395491,0,11,1271.87,1271.629,*,0.9997799999999999,1.1e-05,0.0,0.0,0.11506500000000001
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01050000,01/07/2011,1050.0,P,E,0.05,0.0,0.0,0.0,0.395491,0,6454,1271.87,1271.629,*,-2e-06,1.1e-05,0.0,-5.4000000000000005e-05,0.0
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01075000,01/07/2011,1075.0,C,E,195.8,192.1,193.95,0.0,0.395491,0,0,1271.87,1271.629,*,0.9997590000000001,0.00013000000000000002,2e-06,0.0,0.117802
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01075000,01/07/2011,1075.0,P,E,0.05,0.0,0.0,0.0,0.395491,10,2811,1271.87,1271.629,*,-2.3e-05,0.00013000000000000002,2e-06,-0.000644,-3e-06
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01100000,01/07/2011,1100.0,C,E,170.9,167.1,169.0,0.0,0.395491,0,11,1271.87,1271.629,*,0.999568,0.001073,1.4999999999999999e-05,0.0,0.12051400000000001
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01100000,01/07/2011,1100.0,P,E,0.05,0.0,0.0,0.0,0.395491,196,3053,1271.87,1271.629,*,-0.00021400000000000002,0.001073,1.4999999999999999e-05,-0.0053159999999999995,-2.9999999999999997e-05
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01125000,01/07/2011,1125.0,C,E,145.7,142.4,144.05,0.0,0.395491,0,0,1271.87,1271.629,*,0.99834,0.006265,8.9e-05,0.0,0.123081
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01125000,01/07/2011,1125.0,P,E,0.1,0.05,0.075,0.0,0.395491,416,6387,1271.87,1271.629,*,-0.001442,0.006265,8.9e-05,-0.031061000000000002,-0.00020299999999999997
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01150000,01/07/2011,1150.0,C,E,121.0,117.1,119.05,0.0,0.395491,0,30,1271.87,1271.629,*,0.9926200000000001,0.026470999999999998,0.00037799999999999997,-0.070075,0.12501199999999998
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01150000,01/07/2011,1150.0,P,E,0.15,0.1,0.125,0.0,0.395491,1270,9511,1271.87,1271.629,,-0.007161,0.026470999999999998,0.00037799999999999997,-0.131295,-0.0010119999999999999
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01175000,01/07/2011,1175.0,C,E,96.0,92.2,94.1,0.0,0.33987,15,20,1271.87,1271.629,*,0.987207,0.043302999999999994,0.000719,-0.12368399999999999,0.12698900000000002
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01175000,01/07/2011,1175.0,P,E,0.25,0.15,0.2,0.0,0.33987,2666,1184,1271.87,1271.629,,-0.012574,0.043302999999999994,0.000719,-0.184724,-0.001775
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01200000,01/07/2011,1200.0,C,E,71.2,67.7,69.45,0.0,0.279855,33,27,1271.87,1271.629,*,0.9766889999999999,0.072793,0.001467,-0.195179,0.128249
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01200000,01/07/2011,1200.0,P,E,0.35,0.3,0.325,0.0,0.279855,4495,9671,1271.87,1271.629,,-0.023091999999999998,0.072793,0.001467,-0.256037,-0.003254
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01205000,01/07/2011,1205.0,C,E,66.0,62.6,64.3,0.0,0.26908899999999997,8,0,1271.87,1271.629,*,0.972649,0.083328,0.0017469999999999999,-0.22109499999999999,0.128228
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01205000,01/07/2011,1205.0,P,E,0.4,0.35,0.375,0.0,0.26908899999999997,137,1079,1271.87,1271.629,,-0.027132,0.083328,0.0017469999999999999,-0.28191700000000003,-0.0038229999999999996
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01210000,01/07/2011,1210.0,C,E,61.3,57.6,59.45,0.0,0.257171,0,11,1271.87,1271.629,*,0.968255,0.09439,0.00207,-0.24454299999999998,0.128158
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01210000,01/07/2011,1210.0,P,E,0.45,0.4,0.425,0.0,0.257171,292,822,1271.87,1271.629,,-0.031526,0.09439,0.00207,-0.30532800000000004,-0.004441
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01215000,01/07/2011,1215.0,C,E,56.3,52.7,54.5,0.0,0.24424,11,4,1271.87,1271.629,*,0.963419,0.106147,0.0024519999999999998,-0.265509,0.128027
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01215000,01/07/2011,1215.0,P,E,0.5,0.45,0.475,0.0,0.24424,732,165,1271.87,1271.629,,-0.036362,0.106147,0.0024519999999999998,-0.326258,-0.00512
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01220000,01/07/2011,1220.0,C,E,51.4,47.8,49.6,0.0,0.23646399999999998,36,37,1271.87,1271.629,*,0.953965,0.12803699999999998,0.003054,-0.32050100000000004,0.127243
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01220000,01/07/2011,1220.0,P,E,0.65,0.55,0.6,0.0,0.23646399999999998,192,226,1271.87,1271.629,,-0.045817000000000004,0.12803699999999998,0.003054,-0.381214,-0.006451999999999999
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01225000,01/07/2011,1225.0,C,E,46.5,42.6,44.55,0.0,0.21935300000000002,7,23,1271.87,1271.629,*,0.949118,0.138764,0.003568,-0.322856,0.127113
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01225000,01/07/2011,1225.0,P,E,0.8,0.45,0.625,0.0,0.21935300000000002,1322,2537,1271.87,1271.629,,-0.050663,0.138764,0.003568,-0.383533,-0.00713
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01230000,01/07/2011,1230.0,C,E,41.6,38.0,39.8,0.0,0.203421,22,21,1271.87,1271.629,*,0.94201,0.15395799999999998,0.004268999999999999,-0.33432,0.126664
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01230000,01/07/2011,1230.0,P,E,0.8,0.55,0.675,0.0,0.203421,795,1031,1271.87,1271.629,,-0.057771,0.15395799999999998,0.004268999999999999,-0.394961,-0.008126000000000001
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01235000,01/07/2011,1235.0,C,E,36.8,33.3,35.05,0.0,0.198952,0,2,1271.87,1271.629,*,0.9210790000000001,0.195496,0.005543,-0.43031899999999995,0.12426500000000001
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01235000,01/07/2011,1235.0,P,E,1.15,0.75,0.95,0.0,0.198952,815,287,1271.87,1271.629,,-0.078702,0.195496,0.005543,-0.49092399999999997,-0.011073999999999999
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01240000,01/07/2011,1240.0,C,E,32.0,28.6,30.3,0.0,0.189106,11,0,1271.87,1271.629,*,0.899917,0.233423,0.006963,-0.49722,0.12183599999999999
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01240000,01/07/2011,1240.0,P,E,1.25,1.15,1.2,0.0,0.189106,875,394,1271.87,1271.629,,-0.099865,0.233423,0.006963,-0.557789,-0.014051
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01245000,01/07/2011,1245.0,C,E,26.2,24.8,25.5,0.0,0.179861,0,0,1271.87,1271.629,*,0.871283,0.279384,0.008762,-0.575339,0.118354
