,maxDrawDown,averagePLDay,cumulativePL
strategy.optimalDTE=38,7963638.48272974975407123565673828125,2643.7263495150518792797811329364776611328125,18292090.161336399614810943603515625
strategy.optimalDTE=20,10629052.00420000217854976654052734375,4903.336986804441039566881954669952392578125,33802809.54157559573650360107421875
strategy.optimalDTE=42,5901638.862427002750337123870849609375,2360.45160992120872833766043186187744140625,16321871.56751349754631519317626953125
strategy.optimalDTE=34,9709516.30938649736344814300537109375,3171.69227081734288731240667402744293212890625,21885464.291489087045192718505859375
strategy.optimalDTE=32,9872553.7939152456820011138916015625,2619.67338309149272390641272068023681640625,18031771.2862225957214832305908203125
strategy.optimalDTE=22,10573297.589600004255771636962890625,4675.444269838824766338802874088287353515625,32030940.656702093780040740966796875
strategy.optimalDTE=40,5708507.8291929997503757476806640625,1781.403426384735439569340087473392486572265625,12328250.8665045239031314849853515625
strategy.optimalDTE=36,8299057.54857725091278553009033203125,3285.39418288396336720325052738189697265625,22759773.2535831741988658905029296875
strategy.optimalDTE=28,9868246.2708790004253387451171875,2215.80794076042957385652698576450347900390625,15363465.57821434177458286285400390625
strategy.optimalDTE=26,9655240.63500024937093257904052734375,2816.0896354581300329300574958324432373046875,19476531.9126375950872898101806640625
strategy.optimalDTE=44,4493802.4252942502498626708984375,1591.20616690793440284323878586292266845703125,11120107.762439616024494171142578125
strategy.optimalDTE=24,10407937.96149999462068080902099609375,4653.61590726104259374551475048065185546875,31965971.6338626034557819366455078125
strategy.optimalDTE=46,5300507.58493375219404697418212890625,1616.652162725042217061854898929595947265625,11202297.75392361916601657867431640625
strategy.optimalDTE=30,9894812.93444224633276462554931640625,2272.82569748195601277984678745269775390625,15740365.73883484303951263427734375
strategy.optimalDTE=48,6007653.51573799736797809600830078125,2137.3050533964487840421497821807861328125,14745296.85651116631925106048583984375
