,maxDrawDown,averagePLDay,cumulativePL
strategy.optimalDTE=30,49205723.688813753426074981689453125,10344.7174946567465667612850666046142578125,70750500.54129643738269805908203125
strategy.optimalDTE=12,116634833.6052250564098358154296875,54768.7253750825548195280134677886962890625,377365461.312223136425018310546875
strategy.optimalDTE=34,29557669.612312741577625274658203125,14757.97609847693820483982563018798828125,101215379.65392534434795379638671875
strategy.optimalDTE=26,57821137.5218829810619354248046875,20303.7260025718496763147413730621337890625,139569783.16825377941131591796875
strategy.optimalDTE=24,78240548.01903545856475830078125,28457.2477200143839581869542598724365234375,194791115.930739820003509521484375
strategy.optimalDTE=14,111659725.64314939081668853759765625,47990.8901250065318890847265720367431640625,328285911.506195366382598876953125
strategy.optimalDTE=32,36222500.99057148396968841552734375,12195.18091630855997209437191486358642578125,83633585.20413030683994293212890625
strategy.optimalDTE=28,48279982.038366742432117462158203125,11200.333055557273837621323764324188232421875,77185724.33007861673831939697265625
strategy.optimalDTE=20,77544357.4583487212657928466796875,37524.46822186562349088490009307861328125,256058855.654591083526611328125
strategy.optimalDTE=18,83401826.782007277011871337890625,50221.644767892474192194640636444091796875,346861167.737109601497650146484375
strategy.optimalDTE=36,27420844.16738675534725189208984375,15005.5596608502892195247113704681396484375,103002792.32748354971408843994140625
strategy.optimalDTE=16,113641300.974486887454986572265625,57003.07536438896204344928264617919921875,393584636.4379880428314208984375
strategy.optimalDTE=38,21229587.1145104952156543731689453125,12225.377691270366995013318955898284912109375,83905626.79038143157958984375
strategy.optimalDTE=22,78207068.913440704345703125,32778.313499340831185691058635711669921875,224745914.5708240568637847900390625
