,maxDrawDown,averagePLDay,stdDevPLDay,cumulativePL,winPercentage
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=19,1545044.0312099992297589778900146484375,1838.25095133059176077949814498424530029296875,42068.126295104579185135662555694580078125,6653759.952845999039709568023681640625,93.25153374233128
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,986950.3012720006518065929412841796875,984.4508983259247543173842132091522216796875,27191.55245537383234477601945400238037109375,4036378.0104982494376599788665771484375,83.73983739837398
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,1360649.52147300052456557750701904296875,809.3708558784404658581479452550411224365234375,32281.42926134829758666455745697021484375,3541179.9963217503391206264495849609375,82.86290322580645
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,1837088.59862549789249897003173828125,2490.50205349035104518407024443149566650390625,52571.1273546727097709663212299346923828125,8810160.71197299845516681671142578125,85.6896551724138
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,2701812.142723000608384609222412109375,5295.8314680507746743387542665004730224609375,90385.883408962559769861400127410888671875,17423513.1618884988129138946533203125,83.45398138572907
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,4049886.46359500102698802947998046875,4481.67953737432617344893515110015869140625,102326.091185987912467680871486663818359375,14970280.23853024654090404510498046875,85.57046979865773
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,1229583.96105649881064891815185546875,2586.65709168087641955935396254062652587890625,44780.8640031039321911521255970001220703125,9042901.76249325089156627655029296875,82.75261324041811
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,3134345.711997249163687229156494140625,5017.7979289878203417174518108367919921875,95388.200519320365856401622295379638671875,16714695.47442050091922283172607421875,85.29411764705883
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,1442308.68077849992550909519195556640625,1744.168292745728422232787124812602996826171875,42359.7223836761550046503543853759765625,6369775.864749248139560222625732421875,82.14747736093143
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,1154243.94321825052611529827117919921875,1061.55484518736147947493009269237518310546875,28237.5665256858992506749927997589111328125,4243266.086527250707149505615234375,90.6515580736544
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,4268347.702715749852359294891357421875,4400.73813902609981596469879150390625,113543.4327446119277738034725189208984375,14689461.9783515036106109619140625,85.20325203252033
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,1568055.1851335004903376102447509765625,1504.149304749367047406849451363086700439453125,41094.9356989492589491419494152069091796875,5645804.673202748410403728485107421875,82.74509803921568
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,2362365.3138344995677471160888671875,4350.597130144020411535166203975677490234375,78043.690663697590935043990612030029296875,14393967.4197652526199817657470703125,83.89923329682367
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,1605020.102394000627100467681884765625,1313.47438234806986656622029840946197509765625,39227.307823175899102352559566497802734375,4986258.7434922493994235992431640625,91.75531914893617
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,1635153.87323099933564662933349609375,2679.87527141102464156574569642543792724609375,51686.690948302231845445930957794189453125,9403604.45382024906575679779052734375,85.56701030927834
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,1608664.85244050063192844390869140625,1157.0794533880098242661915719509124755859375,38987.9164454625570215284824371337890625,4511854.373049500398337841033935546875,91.38888888888889
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,998104.522679000278003513813018798828125,1069.19076908027500394382514059543609619140625,28450.30011130546699860133230686187744140625,4357498.216752749867737293243408203125,81.16504854368932
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,1149140.7989979996345937252044677734375,2574.06064383509919935022480785846710205078125,45435.1306686267707846127450466156005859375,9035674.41605274938046932220458984375,84.69217970049917
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,1839153.462422999553382396697998046875,1497.704032762574797743582166731357574462890625,49175.71880701827467419207096099853515625,5725282.33894249983131885528564453125,81.5365551425031
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,1154246.2004812504164874553680419921875,930.796426481809476172202266752719879150390625,28370.01796217475202865898609161376953125,3843251.2249990007840096950531005859375,89.75155279503106
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,1223701.755225998349487781524658203125,2211.69806081303386235958896577358245849609375,43382.917880129025434143841266632080078125,7921593.791120001114904880523681640625,84.38538205980066
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,2606070.228649497963488101959228515625,3278.02295273307527168071828782558441162109375,64700.9111859920158167369663715362548828125,11294584.24927925132215023040771484375,83.91666666666666
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,2611697.8463984988629817962646484375,5328.7150984650425016297958791255950927734375,92797.256123009210568852722644805908203125,17516482.1471379958093166351318359375,84.54404945904173
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,1605020.102394000627100467681884765625,1478.25788977633646936737932264804840087890625,39239.1612522395444102585315704345703125,5479624.4104730002582073211669921875,91.13573407202216
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,2018982.881624001078307628631591796875,2633.90429932632059717434458434581756591796875,59412.04199258959852159023284912109375,9273537.71106049977242946624755859375,85.33772652388797
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,1160869.09421649761497974395751953125,2852.42094442051484293187968432903289794921875,48897.0065111047224490903317928314208984375,9879769.9966932497918605804443359375,83.20413436692506
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,1440211.55278274975717067718505859375,1411.283881263524335736292414367198944091796875,37745.683766181507962755858898162841796875,5413134.54436399973928928375244140625,81.0200668896321
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,514650.77394149941392242908477783203125,432.3515747601264820332289673388004302978515625,11307.68898153600093792192637920379638671875,2328950.9345320002175867557525634765625,90.12345679012346
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,398798.5580199998803436756134033203125,651.1613262274595399503596127033233642578125,14160.7491430195732391439378261566162109375,3045892.14789499901235103607177734375,84.97023809523809
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,375253.606883749715052545070648193359375,394.210629520332304309704340994358062744140625,10306.571848606154162553139030933380126953125,2222615.547574249096214771270751953125,82.0754716981132
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,385968.9491612501442432403564453125,399.97543246868082178480108268558979034423828125,10332.8488631194340996444225311279296875,2244009.7334135002456605434417724609375,82.40534521158129
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,1627065.56506224977783858776092529296875,1436.120755120848116348497569561004638671875,40436.5619716445144149474799633026123046875,5404410.098317000083625316619873046875,92.36641221374046
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,1944233.50776075012981891632080078125,2184.20131524477983475662767887115478515625,53808.705382998523418791592121124267578125,7846467.74886874854564666748046875,85.3887399463807
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,444283.127197999623604118824005126953125,705.020960200094805259141139686107635498046875,12945.7920247286456287838518619537353515625,3206973.646572499535977840423583984375,84.15841584158416
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,1159568.950675250031054019927978515625,1009.2604670374881834504776634275913238525390625,28990.27639207215179339982569217681884765625,4090737.2276854999363422393798828125,90.76212471131639
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,514650.77394149941392242908477783203125,417.55279236052177793681039474904537200927734375,11196.213941721594892442226409912109375,2286051.7821492501534521579742431640625,91.11969111969111
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=19,526886.7326717502437531948089599609375,376.30202465596312322304584085941314697265625,11377.196779856089051463641226291656494140625,2162309.3956275000236928462982177734375,91.90600522193212
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,1006147.15363149926997721195220947265625,1055.19002762662103123147971928119659423828125,27029.12466051779119879938662052154541015625,4260919.37301774881780147552490234375,81.64300202839758
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,396494.13106775027699768543243408203125,692.000821517812028105254285037517547607421875,13847.792690477495852974243462085723876953125,3166441.0526432502083480358123779296875,85.43417366946778
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,397310.690306249889545142650604248046875,673.8772769627488514743163250386714935302734375,12311.5699727684841491281986236572265625,3094712.2681692498736083507537841796875,84.12213740458016
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,444283.127197999623604118824005126953125,649.1557469324578732994268648326396942138671875,12811.02408609582562348805367946624755859375,3018643.7074334998615086078643798828125,84.35114503816794
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,3860327.262684500776231288909912109375,3508.72652441142099632997997105121612548828125,91717.426449149803374893963336944580078125,11948069.43504449911415576934814453125,84.65063001145475
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,1192685.92821275000460445880889892578125,1083.841937672097628819756209850311279296875,28131.2289262699996470473706722259521484375,4310796.75636150129139423370361328125,91.07981220657277
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=19,525377.10118875023908913135528564453125,429.39749914481132009314023889601230621337890625,11461.375318293999953311868011951446533203125,2325051.69048674963414669036865234375,91.7948717948718
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=21,466379.21505624963901937007904052734375,647.3164412719078200098010711371898651123046875,13439.471261546905225259251892566680908203125,3009342.2291504996828734874725341796875,84.29951690821255
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,1008421.1779579999856650829315185546875,1108.4812523993196009541861712932586669921875,28337.04352552025011391378939151763916015625,4445874.130214250646531581878662109375,82.71236959761549
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,2991766.0253365002572536468505859375,4370.1373931648222423973493278026580810546875,85400.27992579559213481843471527099609375,14550430.49548400379717350006103515625,83.09859154929578
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,418048.7910685003735125064849853515625,760.3380443079478254730929620563983917236328125,15183.898859813531089457683265209197998046875,3386600.002214499749243259429931640625,85.8560794044665
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,1154243.94321825052611529827117919921875,1147.244677553068186171003617346286773681640625,28464.205418139099492691457271575927734375,4504924.146635248325765132904052734375,90.05847953216374
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=25,402099.845624250010587275028228759765625,413.73708066450484466258785687386989593505859375,10122.71231737167909159325063228607177734375,2279326.6076704994775354862213134765625,82.13058419243985
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=19,515465.602210499462671577930450439453125,376.4390505805914699521963484585285186767578125,11212.26701590216907788999378681182861328125,2158283.7971752495504915714263916015625,90.20408163265307
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,1201985.59567500092089176177978515625,2194.61743928321766361477784812450408935546875,41259.3766543506062589585781097412109375,7805849.42126424796879291534423828125,83.51851851851852
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,381639.2932290001772344112396240234375,667.9068343536058591780602000653743743896484375,13748.99569473845258471556007862091064453125,3087412.1990817491896450519561767578125,85.50488599348535
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=17,396136.882793500437401235103607177734375,745.7985897700282293953932821750640869140625,14221.115620768678127205930650234222412109375,3341986.90478374995291233062744140625,85.9375
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,407283.801973500289022922515869140625,345.27657777135385686051449738442897796630859375,11721.146018274286689120344817638397216796875,2084084.153715250082314014434814453125,83.07692307692308
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,1899957.16669200174510478973388671875,2361.13006532940607939963229000568389892578125,51302.51589937866083346307277679443359375,8347849.527886251918971538543701171875,85.91954022988506
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,381783.63115349947474896907806396484375,717.327868195744713375461287796497344970703125,12688.953420215633741463534533977508544921875,3246512.0870567508973181247711181640625,83.64963503649635
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.25_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,371929.5694895000196993350982666015625,670.15963586317639055778272449970245361328125,12929.10716819865410798229277133941650390625,3110630.8046535006724298000335693359375,84.83920367534456
strategy.optimalDTE=40_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,1578148.2155077494680881500244140625,1453.955914322761600487865507602691650390625,40606.3548513324712985195219516754150390625,5512984.53655424900352954864501953125,81.45363408521304
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=25,999806.46016799914650619029998779296875,1130.148859529658466271939687430858612060546875,27651.1454864371262374334037303924560546875,4475337.93635324947535991668701171875,83.20373250388803
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=19,1627065.56506224977783858776092529296875,1322.738757784245308357640169560909271240234375,41020.5120563309974386356770992279052734375,5036932.1047360002994537353515625,92.66409266409266
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,2431882.70388899929821491241455078125,4468.3015996193435057648457586765289306640625,77857.58858755021356046199798583984375,14827060.05208675004541873931884765625,83.00751879699249
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=17,3658072.151997752487659454345703125,3940.0449151838029138161800801753997802734375,86585.600159883309970609843730926513671875,13207665.672586001455783843994140625,84.24717145343777
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=17,3937006.091899500228464603424072265625,4244.437647742013723473064601421356201171875,96058.316967275968636386096477508544921875,14119764.79589250124990940093994140625,84.88783943329398
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.5_strategy.maxCapitalToUsePerTrade=0.2_strategy.closeDuration=21,1168492.033876500092446804046630859375,2853.29059421844385724398307502269744873046875,47004.89712751584011130034923553466796875,9902736.4597044996917247772216796875,83.88324873096447
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.4_strategy.closeDuration=25,1456791.949589499272406101226806640625,1492.45509954531780749675817787647247314453125,40319.63593695804593153297901153564453125,5570319.290552749298512935638427734375,84.14872798434442
strategy.optimalDTE=50_strategy.maxCapitalToUse=0.65_strategy.maxCapitalToUsePerTrade=0.1_strategy.closeDuration=21,2438555.9904995001852512359619140625,3719.53364776289208748494274914264678955078125,72288.514638971406384371221065521240234375,12491477.05626850388944149017333984375,82.87073750991277
