,maxDrawDown,averagePLDay,stdDevPLDay,cumulativePL,winPercentage
strategy.optimalDTE=49_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=17_strategy.minimumDTE=20,2742327.54217599891126155853271484375,18.653161001238455440898178494535386562347412109375,259.13222796501366929078358225524425506591796875,16092788.9581157453358173370361328125,88.301043219076
strategy.optimalDTE=47_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=23_strategy.minimumDTE=20,1505616.9374605007469654083251953125,Infinity,NaN,6339649.27706799842417240142822265625,84.92501973164957
strategy.optimalDTE=43_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=25_strategy.minimumDTE=20,1387472.6929627503268420696258544921875,Infinity,NaN,4351156.014235748909413814544677734375,81.73849525200878
strategy.optimalDTE=41_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=17_strategy.minimumDTE=20,1904801.3444689996540546417236328125,29.31016354901323239801058662123978137969970703125,527.0361411243098928025574423372745513916015625,7846986.89287274889647960662841796875,87.31909028256375
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=19_strategy.minimumDTE=20,1692167.77209649980068206787109375,16.996455835696000491452650749124586582183837890625,273.3713512405048504660953767597675323486328125,3173152.3898759991861879825592041015625,95.27363184079603
strategy.optimalDTE=43_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=21_strategy.minimumDTE=20,3173485.1782925017178058624267578125,27.21141255612079845604966976679861545562744140625,432.752139859763929052860476076602935791015625,17197610.7881194986402988433837890625,85.51532033426183
strategy.optimalDTE=47_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=19_strategy.minimumDTE=20,1508946.6338202483020722866058349609375,18.65516266391813360314699821174144744873046875,266.0661961273521001203334890305995941162109375,4967355.599287000484764575958251953125,95.38203190596137
strategy.optimalDTE=43_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=19_strategy.minimumDTE=20,2170105.936206749640405178070068359375,17.313557390517271272756261168979108333587646484375,277.071263453841083901352249085903167724609375,2902512.7380357496440410614013671875,95.29220779220779
strategy.optimalDTE=47_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=21_strategy.minimumDTE=20,3265051.12516349740326404571533203125,21.7934320619041272948379628360271453857421875,312.642005048204509876086376607418060302734375,18032029.7643754892051219940185546875,86.5727002967359
strategy.optimalDTE=41_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=19_strategy.minimumDTE=20,1941464.683233999647200107574462890625,20.0238539420836474391762749291956424713134765625,274.43913219431254901792271994054317474365234375,6954096.383334998972713947296142578125,95.12006196746708
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=17_strategy.minimumDTE=20,2185778.6643637497909367084503173828125,17.663156458833231710059408214874565601348876953125,265.7732946422878512748866342008113861083984375,7146984.365132250823080539703369140625,87.67222625090645
strategy.optimalDTE=47_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=25_strategy.minimumDTE=20,1554301.8018099963665008544921875,17.7842381409965355487656779587268829345703125,255.0488380419623126726946793496608734130859375,7106280.24172399938106536865234375,83.69322412509308
strategy.optimalDTE=43_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=23_strategy.minimumDTE=20,2034781.7585419979877769947052001953125,Infinity,NaN,5102597.966548998840153217315673828125,82.44444444444444
strategy.optimalDTE=49_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=19_strategy.minimumDTE=20,2140089.986841500736773014068603515625,17.562100677742602528041970799677073955535888671875,270.818521099649615280213765799999237060546875,4868695.22681275196373462677001953125,95.38066723695466
strategy.optimalDTE=49_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=25_strategy.minimumDTE=20,2583884.7460582503117620944976806640625,15.206168595181150493544919299893081188201904296875,250.37516773576572859383304603397846221923828125,4004471.901639000512659549713134765625,84.94704992435703
strategy.optimalDTE=49_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=23_strategy.minimumDTE=20,1403389.26209449954330921173095703125,Infinity,NaN,5023764.34828200004994869232177734375,84.85342019543974
strategy.optimalDTE=41_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=25_strategy.minimumDTE=20,1719942.3239384996704757213592529296875,Infinity,NaN,3915284.454530499875545501708984375,80.68669527896995
strategy.optimalDTE=47_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=17_strategy.minimumDTE=20,1563998.170596498064696788787841796875,18.37322634212835481548609095625579357147216796875,265.17604749169453270951635204255580902099609375,9305391.1780405007302761077880859375,89.27492447129909
strategy.optimalDTE=41_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=23_strategy.minimumDTE=20,1608872.309167250059545040130615234375,Infinity,NaN,8563595.79043425060808658599853515625,81.71428571428572
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=21_strategy.minimumDTE=20,3911760.28036900050938129425048828125,24.561196304208497309673475683666765689849853515625,358.26373980146809117286466062068939208984375,19299014.608249239623546600341796875,85.64493758668516
strategy.optimalDTE=41_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=21_strategy.minimumDTE=20,2486004.715294501744210720062255859375,23.70744044311796727697583264671266078948974609375,365.07661859378248436769354157149791717529296875,15651221.50604974292218685150146484375,83.43600273785079
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=23_strategy.minimumDTE=20,1234119.19862425141036510467529296875,Infinity,NaN,7417098.81429400108754634857177734375,82.8101644245142
strategy.optimalDTE=43_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=17_strategy.minimumDTE=20,2457991.044135003350675106048583984375,19.511263828825978094982929178513586521148681640625,256.69486317754598303508828394114971160888671875,10904933.5647982470691204071044921875,88.26855123674912
strategy.optimalDTE=45_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=25_strategy.minimumDTE=20,1410622.8150699995458126068115234375,Infinity,NaN,5999444.949930749833583831787109375,83.46686088856518
strategy.optimalDTE=49_strategy.maxCapitalToUse=0.45_strategy.maxCapitalToUsePerTrade=0.3_strategy.optPutToSellDelta=-0.175_strategy.optPutToBuyDelta=-0.09_strategy.closeDuration=21_strategy.minimumDTE=20,3639012.599422997795045375823974609375,20.843013716591116235576919279992580413818359375,312.37540675366790310363285243511199951171875,13195328.2335182465612888336181640625,87.08708708708708
